동영상 제목,채널명,댓글 유형,작성자,댓글 내용,좋아요,작성일시,대댓글 수,댓글 ID,동영상 ID,작성자 채널 ID,수정일시,상위 댓글 ID,감성
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@앤드류-2class_agent,"나도 어쩌다 심장을 얻어맞았고 그게 버추얼이었다.
(옆동네 사람)",0,2025-04-20T11:24:06Z,0,UgwxirMmT0j2HBc2d614AaABAg.A8tYprv70vDAH8AE1T3HBB,OT6uElfCI7o,UC20lZ2fjx68Edt6YvxHmY1g,2025-04-20T11:24:06Z,UgwxirMmT0j2HBc2d614AaABAg,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,최상위 댓글,@2kimsisters,가수 입덕에 뭐 별거 있나요 노래 좋으면 입덕하는거죠ㅋㅋㅋㅋ,128,2024-09-27T13:38:33Z,0,UgykjTyCfr95NNFxS1V4AaABAg,OT6uElfCI7o,UCb-vFBA-Tk56yrlwy9b0X7A,2024-09-27T13:38:33Z,,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,최상위 댓글,@stellarr54,가수의 본질은 겉모습이 아니라는걸 여실히 보여준 그룹입니다 발표곡 17곡 작사작곡 17곡 안무까지 자체제작합니다  노래도 잘해 춤도 잘춰  팬들과 소통왕이기도 하고 덕질좀 해봤지만 우리 플레이브가 가장 인간적이랍니다,134,2024-09-27T12:22:15Z,0,UgzZzVwnrbPX-IlEChx4AaABAg,OT6uElfCI7o,UC2VVjrlcw4XNRDP1zZfnK7w,2024-09-27T12:22:15Z,,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,최상위 댓글,@풀뜯는흰토끼,작사작곡안무까지 하는 자체제작돌 좋아할수밖에 없지 거기다 팬사랑이 어마어마 하다..? 그럼 끝난거임 🥹,326,2024-09-27T11:46:36Z,0,UgwgR8eArMsOf6PBzTt4AaABAg,OT6uElfCI7o,UC91V4w8nTxLduXmdBvGXOtw,2024-09-27T11:46:36Z,,긍정
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,최상위 댓글,@낄낄-c9q,가수은 본업을 잘해야한다,475,2024-09-27T12:06:52Z,3,Ugz4BcbalFv5mw0z2qZ4AaABAg,OT6uElfCI7o,UCwa4m15i0Mr-sjKeQ1SEBaA,2024-09-27T12:06:52Z,,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@Josy-0o0,본업 존나 충실함,23,2024-09-30T22:00:15Z,0,Ugz4BcbalFv5mw0z2qZ4AaABAg.A8tO9nTRqoVA91ASZemIEW,OT6uElfCI7o,UCsSDDXM_JjCjcKWLcT0mMew,2024-09-30T22:00:15Z,Ugz4BcbalFv5mw0z2qZ4AaABAg,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@naaahello8948,"​@Josy-0o0 그래서 인기있는 것 같아요. 플리는 아니지만, 플리 친구가 들려준 노래 듣고 심지어 셀프메이드라는거 듣고 방식은 독특해도 결국 잘되겠구나 싶더라구요.",15,2024-10-01T03:15:53Z,0,Ugz4BcbalFv5mw0z2qZ4AaABAg.A8tO9nTRqoVA91j_JocUgw,OT6uElfCI7o,UCjFjsvnUWlN1-tcYnoDQObg,2024-10-01T03:15:53Z,Ugz4BcbalFv5mw0z2qZ4AaABAg,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,대댓글,@Josy-0o0,@naaahello8948 맞아요 자체제작아이돌이라는 타이틀이 괜히 붙은게 아니에요ㅋㅋㅋ 작사작곡안무까지 싹다 만들고 무엇보다 팬들을 진심으로 사랑해줘서 팬들도 그 사랑에 보답하기위해 더 열심히 사랑해주니까 애들은 또 좋은노래 만들어오고 무한 반복인거 같아요ㅋㅋ칭찬 감사드려요-!,10,2024-10-01T03:20:26Z,0,Ugz4BcbalFv5mw0z2qZ4AaABAg.A8tO9nTRqoVA91k5gCEjrb,OT6uElfCI7o,UCsSDDXM_JjCjcKWLcT0mMew,2024-10-01T03:20:41Z,Ugz4BcbalFv5mw0z2qZ4AaABAg,긍정
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,최상위 댓글,@으닝12,"구설얘기는 언제까지 나오는거야😂 
그냥 똑같이 다른 아이돌처럼 조아하는거예요🤭",190,2024-09-27T12:53:04Z,0,UgyBvhGYV5JD2lAcI894AaABAg,OT6uElfCI7o,UCSok2Q2RliIlRgoUhzMoCaw,2024-09-27T12:53:04Z,,중립
노래 잘하는 외계인? 음악방송 1위 하는 버추얼 아이돌 (2024.09.27/뉴스데스크/MBC),MBCNEWS,최상위 댓글,@고롸니c,"버추얼을 떠나서 노래가 좋으면 당연히 좋아하는 팬들이 생기는 게 당연한거라고 생각합니다 그게 가수잖아요,, 플레이브 항상 좋은 노래 고마워요 최고야💙💜💗❤️🖤",152,2024-09-27T11:47:13Z,0,Ugyq0VolkBYyFfmDHn94AaABAg,OT6uElfCI7o,UCMSPqLdYwobp342xoE7-wng,2024-09-27T11:47:13Z,,긍정
