동영상 제목,채널명,댓글 유형,작성자,댓글 내용,좋아요,작성일시,대댓글 수,댓글 ID,동영상 ID,작성자 채널 ID,수정일시,상위 댓글 ID,감성
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@zzangeiking,영원하라 이세돌!!!ㅠㅠㅠㅠㅠ,1,2023-10-04T15:49:58Z,0,Ugx0inJCD5eGLvnnrSN4AaABAg,S1bcy4h1mS8,UC9pTp00AW1GaoFKVG9BKZIg,2023-10-04T15:49:58Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@雨とカプチーノ,형.. 우리가 해냈어,1,2024-02-12T02:38:19Z,0,UgyR7R7Slj-Q8NAaQyd4AaABAg,S1bcy4h1mS8,UCI9maIOSDWhjL04g15MxERQ,2024-02-12T02:38:19Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@사냥이과하면사냥당한,킹아,2,2024-04-20T13:52:32Z,0,Ugz_sY_c4MkHzGc3fMd4AaABAg,S1bcy4h1mS8,UCHs0_bQEApoRk5-sUNQif3w,2024-04-20T13:52:32Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@bi_bi_bic,갑자기 궁금해졌는데 저런 버츄얼 프로그램도 더 발전하고 좋은게 나올텐데 그럼 그때 디자인만 옮겨서 새로 만드려나?,0,2023-10-01T01:21:25Z,0,UgxVkh2yottnEp5dojl4AaABAg,S1bcy4h1mS8,UCwION2sV9hatcibnDVCfEww,2023-10-01T01:21:25Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@scarecrow3849,그래... 응원한다,1,2023-09-29T10:18:58Z,0,UgzsdxQm0aFNMwWYtfJ4AaABAg,S1bcy4h1mS8,UCg4NbI9vaNN-2jAqPdWkVrQ,2023-09-29T10:18:58Z,,긍정
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@kim.muyeol,킹아~!,2,2024-02-21T18:31:54Z,0,Ugzpy48l_W2ZAMUvXSV4AaABAg,S1bcy4h1mS8,UCGsbtImbsfdVjNaEwaHrkDw,2024-02-21T18:31:54Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@몰루-u2x,와굳형 이제 뉴스도 나오네,1,2024-08-14T01:35:56Z,0,UgyUG6LLWzkUoe2xDlp4AaABAg,S1bcy4h1mS8,UC4mqU_KMTmJl9kP-ehy-49A,2024-08-14T01:35:56Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@xczenu,유주야 거기서 머해....... ㅋㅋㅋㅋㅋㅋ,0,2023-10-13T11:01:53Z,0,Ugwt0eY7KBTPnW5q0954AaABAg,S1bcy4h1mS8,UCuFkOw-ZNHVo9mBYWbTFjiA,2023-10-13T11:01:53Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,최상위 댓글,@레인크리스마스,아니 SBS 뉴스에서도 홍조컨을하는 사람이있다 ..!?!?!,6,2023-10-06T08:57:33Z,1,UgzmYCdCpPXpCnqNf_d4AaABAg,S1bcy4h1mS8,UCwqmC6oJbw1I0cw38OakqRg,2023-10-06T08:57:33Z,,중립
콘서트 티켓 8분 만에 전석 매진시킨다는 버추얼 아이돌 근황 / 스브스뉴스,스브스뉴스 SUBUSUNEWS,대댓글,@타미-tami,RR?,1,2023-10-13T09:17:26Z,0,UgzmYCdCpPXpCnqNf_d4AaABAg.9vWnhvqqHpw9vnrYfayuhL,S1bcy4h1mS8,UC-kC-j9g36Uzd_Ypw0RLGVQ,2023-10-13T09:17:26Z,UgzmYCdCpPXpCnqNf_d4AaABAg,중립
