동영상 제목,채널명,댓글 유형,작성자,댓글 내용,좋아요,작성일시,대댓글 수,댓글 ID,동영상 ID,작성자 채널 ID,수정일시,상위 댓글 ID,감성
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@cute_큐트,엔시티야 사란해,0,2025-05-21T23:18:12Z,0,UgypykDpPefGXNgTHel4AaABAg,qOB5sIujPH8,UCcCHPXyjHlvuVu8zJnOukbQ,2025-05-21T23:18:12Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@boongboong1100,공중부양에 일가견이 있는 사람이 있는데....,0,2025-05-04T06:07:35Z,0,UgwPzP6bGA9zZJCgP_Z4AaABAg,qOB5sIujPH8,UChkdBNv3VbQ62rIs4Lk2f6Q,2025-05-04T06:07:35Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@MMii0112,플레이브화이팅,0,2025-09-17T13:27:58Z,0,UgxgJzIK1CfPp9agMMR4AaABAg,qOB5sIujPH8,UCJ_6RTkTlqMhDPhMHT304OQ,2025-09-17T13:27:58Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@이또리-252,ㅋㅋㅎㅋㅎㅋㅎㅋㅎ 시티가 이겼죠?,1,2025-05-07T06:34:55Z,0,UgyuMCgNbEChwHd3ccN4AaABAg,qOB5sIujPH8,UCnpJ6O8J9FzVKX24d_y5lXQ,2025-05-07T06:34:55Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@축하발로란트,굴먹고싶다,0,2025-05-01T01:26:33Z,0,Ugw1aHt0f0lUH3jIrd14AaABAg,qOB5sIujPH8,UCHIntzFNoXADJEql-22zHMw,2025-05-01T01:26:33Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@서은-o8n4m,근데 플레이브 공연중에 전기 나가면 걍 없어지는건가?,0,2026-01-20T07:57:16Z,0,Ugxo7rjP0-NdROOl_GB4AaABAg,qOB5sIujPH8,UCN5FsYRbE_DipRqgm92QXvw,2026-01-20T07:57:16Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@이가빈-b3f,자 이제 누가 버츄얼이지?,0,2025-04-29T08:39:42Z,0,UgwY-6Rp4a2dBTujzrF4AaABAg,qOB5sIujPH8,UCledBlVhueZYsymqakBGQFw,2025-04-29T08:39:42Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@박래윤-f7w,느그 오빠들은 이런거 못하제ㅋㅋㅋㅋㅋ,0,2025-04-28T22:59:19Z,0,UgyBDZvqafOi-2VlHUV4AaABAg,qOB5sIujPH8,UCw6cq4qVYnE66H3NNCt2Kpg,2025-04-28T22:59:19Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@강민철의창팝분석,장기하도 잘 날던데,0,2025-05-01T08:15:42Z,0,Ugz0rAYKfAOXOxFln6p4AaABAg,qOB5sIujPH8,UCX1fzKu23AodvfAVLA2hwgQ,2025-05-01T08:15:42Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@momomomo-vs9rg,만지거나 직접 못보고  가상에서 봐야 하는것들이 ㅋ 비교질한다고? ㅋ,0,2025-06-07T17:21:28Z,0,UgxlLdTvPKQOF749VfZ4AaABAg,qOB5sIujPH8,UCwCQt7o2c4Bg743IKkQ10-w,2025-06-07T17:21:44Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@개새_18r,나만 버츄얼 이해 안가냐,10,2025-04-29T12:56:58Z,0,UgwGDEflPfGEXcl1Tl94AaABAg,qOB5sIujPH8,UCqbNhwQElqpY9pEYYY3MkxA,2025-04-29T12:56:58Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@kurok125,두꺼비집,0,2025-05-06T04:23:27Z,0,UgwkY8KvBsHmpOOv7i14AaABAg,qOB5sIujPH8,UCgRqab58JTCpq1N1H65Sq-A,2025-05-06T04:23:27Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@아이고야-j2z,응 두꺼비집 내리면 펜타킬~,1,2025-05-05T04:44:07Z,0,UgzKO8PgJr7RaZxeS8x4AaABAg,qOB5sIujPH8,UC79hPXm4A6Pz9l8JRVnxouw,2025-05-05T04:44:07Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@woou-uou,싸이도 무대에서 날던데ㅠ,1,2025-04-30T08:40:14Z,0,UgyNUBc5jaxkwXrF1WN4AaABAg,qOB5sIujPH8,UCcWf-4rWwiR_wjhRqyoj23g,2025-04-30T08:40:14Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@2Hann_i,아니 근데 우리 오빠들 그런 거 안 하고 싶어요,0,2025-07-17T13:20:02Z,0,UgzSM4TOhdLO87q6ZoF4AaABAg,qOB5sIujPH8,UCaQslew0PSopHgekeWdvGQA,2025-07-17T13:20:02Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@mimi-wq3ee,제 이름이.. 이수만 인데,0,2026-01-22T02:44:34Z,0,Ugw5DSkKgcFJBFo8bGh4AaABAg,qOB5sIujPH8,UCHkEfFy3N38hfp6zQe_s82A,2026-01-22T02:44:34Z,,중립
인간 아이돌(엔시티) VS 버츄얼아이돌(플레이브)#엔시티#플레이브#엔시티127,케이팝 읽어주는 남녀,최상위 댓글,@막내덕질중,위에 푸훗이라 웃은애. 뭐냐..,0,2025-04-29T06:53:15Z,0,UgyLSPZzHWmFnzdYRZx4AaABAg,qOB5sIujPH8,UC12urjf6W_dz0nhkduL7UWA,2025-04-29T06:53:15Z,,중립
