,nouns
bltjk6NfDQM,"['지금', '전체', '원영', '이서', '코디', '원영', '이서', '핑크색', '하나']"
bltjk6NfDQM,['리즈']
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['리즈', '리즈', '노임', '흑발', '리즈', '극락']"
bltjk6NfDQM,
bltjk6NfDQM,['귀여웡']
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['진짜', '임팩트']"
bltjk6NfDQM,"['가을', '분량', '실력', '왜케없음']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['카메라', '무빙', '레전드']"
bltjk6NfDQM,"['근접', '하나', '놀란', '안내', '우리', '이서', '칭찬']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,['레이']
bltjk6NfDQM,"['일레븐', '진짜', '대박']"
bltjk6NfDQM,"['이서', '깜짝', '서프라이즈', '가까이']"
bltjk6NfDQM,"['땡깡', '절미', '카메라', '무빙']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['진짜', '아이브']"
bltjk6NfDQM,"['생각', '가을', '위원', '리즈', '이서', '레이', '유진']"
bltjk6NfDQM,
bltjk6NfDQM,"['원영', '리즈', '아이브', '가을', '위원', '영위', '서위', '레이', '위유', '진위', '리즈']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['레이', '넘흐']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['머리', '휘릭']"
bltjk6NfDQM,
bltjk6NfDQM,"['카메라', '감독', '나이스']"
bltjk6NfDQM,"['카감', '무빙', '개지', '린다', '진짜']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['보컬', '노래', '음색', '레이', '리즈', '이서', '원영', '유진', '가을', '다른', '아이돌', '노래', '진짜', '레이', '가을', '원영', '이서', '리즈', '유진', '진짜']"
bltjk6NfDQM,"['카메라감독', '고난', '위도', '테이크', '기립박수']"
bltjk6NfDQM,['레이']
bltjk6NfDQM,
bltjk6NfDQM,"['퀴즈', '오신']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['사랑', '사랑', '해사']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['르세리핌', '본가', '일본', '댓글', '카메라', '무빙', '우리나라', '년전', '무빙']"
bltjk6NfDQM,
bltjk6NfDQM,"['다시', '무슨', '뮤직비디오', '진짜', '보너스']"
bltjk6NfDQM,"['퀴즈', '다시']"
bltjk6NfDQM,"['퀴즈', '진짜', '대박', '월급', '인상']"
bltjk6NfDQM,
bltjk6NfDQM,['여기']
bltjk6NfDQM,
bltjk6NfDQM,"['원영', '노래', '원영', '응원']"
bltjk6NfDQM,
bltjk6NfDQM,"['이서', '가을']"
bltjk6NfDQM,"['안유진', '레이', '리즈', '화이팅']"
bltjk6NfDQM,
bltjk6NfDQM,"['이서', '카메라', '크게']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,"['아이브', '포텐', '와우']"
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
bltjk6NfDQM,
