,nouns
EYG4ROejmyI,"['오늘', '펌펍', '볼륨', '중독', '맴도']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['진짜', '민아']"
EYG4ROejmyI,"['맘속', '순위', '우리', '영화', '여섯', '여름', '펌업', '볼륨']"
EYG4ROejmyI,"['바이럴', '노래']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['진짜', '관심', '호프', '카페', '어좋다', '노래', '레이브']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['나이', '아이돌', '웃음']"
EYG4ROejmyI,"['사람', '미래', '슬럼', '매라']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['노래', '진짜']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['고민', '중독']"
EYG4ROejmyI,['예준']
EYG4ROejmyI,"['노래', '진짜']"
EYG4ROejmyI,"['플브', '사랑', '노래', '플브', '하나', '사랑']"
EYG4ROejmyI,"['공식', '뮤비', '정적', '악플', '우리', '자라', '표절', '뭐시', '작곡', '하이라이트', '부분', '모션캡쳐', '기술', '브이', '철컥', '드립', '두꺼비', '전기', '버추', '아저씨', '우리', '구연', '세상', '몰카', '사회', '발전', '속도', '어딘가', '사람', '정성', '악플', '인생', '똑바로', '오늘', '티비', '출석', '잠깐', '내일']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,['노래']
EYG4ROejmyI,"['팩트', '테라', '외계인', '외계인', '거임']"
EYG4ROejmyI,"['고민', '중독']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['마지막', '뭔뎈']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,['나라']
EYG4ROejmyI,"['노래', '제목', '안보', '여로']"
EYG4ROejmyI,
EYG4ROejmyI,"['레이브', '목소리']"
EYG4ROejmyI,"['노래', '진짜', '주르르', '노래', '생각', '거엮']"
EYG4ROejmyI,
EYG4ROejmyI,"['가수', '노래', '노래']"
EYG4ROejmyI,['잠기']
EYG4ROejmyI,"['초반', '거부', '베텔기우스', '노래', '입덕', '지금', '나기', '본적', '노래', '세상', '버추', '아이돌', '사랑']"
EYG4ROejmyI,"['버추', '아이돌', '편견', '매력', '노래', '모리', '음색']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['노래', '과거', '추억', '여행', '기분', '기분', '노래']"
EYG4ROejmyI,['나이스']
EYG4ROejmyI,"['진짜', '구지', '여기', '악플', '왜달짘', '진짜', '달달', '백송', '무한', '감사', '작곡']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['티비', '콘서트장', '충격', '뮤지컬', '형식', '안무', '상치']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,['사랑']
EYG4ROejmyI,"['여동생', '보라', '고해', '아이돌', '팬심', '노래', '자체']"
EYG4ROejmyI,"['펌펍볼', '여름', '향수', '자극', '상임', '악기', '티저', '영상', '펌펍볼', '진짜']"
EYG4ROejmyI,"['다시', '보기', '위해', '분동', '레이브', '노래', '사람']"
EYG4ROejmyI,"['지금', '몇번']"
EYG4ROejmyI,
EYG4ROejmyI,"['계열', '코디', '해외', '간다', '신경', '학계', '정설', '체크', '필수', '플러스', '서부', '캔롤', '스푼', '패션', '소화', '너희', '사랑', '미니']"
EYG4ROejmyI,
EYG4ROejmyI,"['성적', '노래']"
EYG4ROejmyI,"['노래', '명반', '느낌']"
EYG4ROejmyI,"['밴드', '사운드', '기반', '청량', '백송', '어케']"
EYG4ROejmyI,"['사람', '버츄얼판']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['아이돌', '뮤비', '아이돌']"
EYG4ROejmyI,"['여기', '댓글', '정병', '알바', '부류', '버츄얼', '거르', '노랜']"
EYG4ROejmyI,"['레이브', '사운드', '모음', '철컹', '차단기', '소리', '콘센트', '꼽는', '소리', '컴퓨터', '데이터', '소리', '매니저', '실수', '데이터', '삭제', '소리', '위이잉키', '소리', '주인', '본계', '데이터', '응원', '소리', '공연', '오빠', '복구', '소리', '씹덕', '배터리', '소리', '씹덕', '오열', '소리', '철거', '차단기', '공연']"
EYG4ROejmyI,"['진짜', '영어', '리듬', '둥둥', '거리']"
EYG4ROejmyI,['여기']
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['무슨', '세상']"
EYG4ROejmyI,"['얼공', '가요', '진짜', '노래']"
EYG4ROejmyI,['나라']
EYG4ROejmyI,"['여기', '사운드', '하민이', '목소리', '사람', '쫄깃하', '가슴']"
EYG4ROejmyI,
EYG4ROejmyI,['목소리']
EYG4ROejmyI,"['입덕', '레이브', '유튜브', '영상', '라이브', '자컨', '음중', '엠카운트다운', '직캠', '안무', '영상', '쇼츠', '뮤비', '다시', '느낌', '멤버', '보컬', '춤선', '성격']"
EYG4ROejmyI,"['고민', '중독']"
EYG4ROejmyI,"['플브', '영상', '회수', '펌펍볼']"
EYG4ROejmyI,
EYG4ROejmyI,"['처음', '레이브', '관심', '레이브', '응원']"
EYG4ROejmyI,"['년대', '만화', '석양', '시작', '만화', '노래', '느낌']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,['노래']
EYG4ROejmyI,"['진짜', '노래']"
EYG4ROejmyI,"['오늘', '레이브', '사랑', '사랑', '악플', '신경', '플리', '레이브', '편이']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['작곡', '영상', '바로', '뮤비', '진짜', '노래', '년월', '노래', '어제', '오늘', '하루', '종일', '레이브', '상보']"
EYG4ROejmyI,"['체급', '노래']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['고민', '중독']"
EYG4ROejmyI,"['고민', '중독', '다른']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['왤케', '붕방거려', '긔엽다']"
EYG4ROejmyI,"['대지', '아이돌', '노래', '멜론', '위건', '노래', '한번', '다시', '노래', '사람', '부분']"
EYG4ROejmyI,['뭔가']
EYG4ROejmyI,
EYG4ROejmyI,"['노래', '어제', '입덕']"
EYG4ROejmyI,"['관심', '노래']"
EYG4ROejmyI,"['나이', '활동']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['노래', '누가', '지금', '헤어', '이제야', '보석', '안건', '지금', '다행']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['레이브', '보기', '위해', '이유', '원동력', '기쁨', '사랑', '자체', '사랑', '레이브', '플레이', '브라', '레이브', '너희', '이야기']"
EYG4ROejmyI,"['마이', '베이비']"
EYG4ROejmyI,"['부분', '버전', '안됑', '노래', '진짜', '몰입']"
EYG4ROejmyI,"['머엄', '마디']"
EYG4ROejmyI,['노래']
EYG4ROejmyI,"['노래', '추억']"
EYG4ROejmyI,"['하물며', '만화', '캐릭터', '진짜', '사람', '캐릭터', '모습', '그룹', '이유']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['최애', '파트']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['타팬', '진심']"
EYG4ROejmyI,['표절']
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['여기', '고민', '중독']"
EYG4ROejmyI,"['차트', '노래', '대쉬', '레이브']"
EYG4ROejmyI,"['지금', '플리', '입덕', '아침', '아이돌', '뮤비', '채널', '뮤비', '처음', '레이브', '노래', '뮤비', '그때', '입덕', '사랑', '레이브']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,['사랑']
EYG4ROejmyI,"['철컥', '두꺼비', '소리']"
EYG4ROejmyI,"['친구', '볼륨', '선택', '친구', '레이브', '누구', '물어', '인생', '열정']"
EYG4ROejmyI,
EYG4ROejmyI,"['입덕', '여기', '부분', '멤버', '이름', '보컬', '레이브', '노래', '왤케', '입덕', '부정']"
EYG4ROejmyI,"['노래', '입덕', '입덕', '사랑', '레이브']"
EYG4ROejmyI,"['게시', '중독']"
EYG4ROejmyI,"['타팬', '카페', '플리', '뮤비', '입덕', '부정', '바보', '얘기', '란말', '사람', '하나', '안보', '사람', '하나', '보이지', '사랑', '안녕']"
EYG4ROejmyI,"['알바', '노래', '노래', '딩고', '발견']"
EYG4ROejmyI,"['작곡', '맛임', '진짜', '천재']"
EYG4ROejmyI,['전기']
EYG4ROejmyI,"['제일', '남예주니', '맑은', '저걸', '음원', '넣다닠', '노래', '찰떡', '이자', '잠깐']"
EYG4ROejmyI,"['노래', '진짜']"
EYG4ROejmyI,"['아이돌', '실력', '사람', '끼리', '버추', '활동', '사람']"
EYG4ROejmyI,"['노래', '감김']"
EYG4ROejmyI,"['노래', '버추', '무시', '진짜', '노래', '레이브', '사랑', '노래', '노래', '심장', '울림', '노래', '평생', '가사도', '활동']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['고민', '중독', '후렴구', '고민', '중독', '실시간', '표절']"
EYG4ROejmyI,"['중간', '고민', '중독']"
EYG4ROejmyI,"['진짜', '예드']"
EYG4ROejmyI,
EYG4ROejmyI,"['플리', '사람']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['중간', '중간', '머리', '저음']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['노래', '입떡']"
EYG4ROejmyI,"['노래', '진짜']"
EYG4ROejmyI,"['무조', '진짜']"
EYG4ROejmyI,"['노래', '진짜', '출석']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['웃기', '진짜']"
EYG4ROejmyI,
EYG4ROejmyI,"['오빠', '잘생굤오']"
EYG4ROejmyI,"['고민', '중독']"
EYG4ROejmyI,"['주르르', '레이브', '노래', '여기']"
EYG4ROejmyI,"['주르르', '커버', '유입', '노래', '남자', '꼬셔버리']"
EYG4ROejmyI,
EYG4ROejmyI,"['이해', '노래', '진짜']"
EYG4ROejmyI,"['레이브', '노래', '살짝']"
EYG4ROejmyI,
EYG4ROejmyI,"['릴레이', '댄스', '눈물', '처음']"
EYG4ROejmyI,
EYG4ROejmyI,"['플리', '고생']"
EYG4ROejmyI,"['예준', '진자']"
EYG4ROejmyI,
EYG4ROejmyI,"['왜왜', '알고리즘', '거여']"
EYG4ROejmyI,"['입덕', '노래']"
EYG4ROejmyI,"['남자', '버튜버', '나남']"
EYG4ROejmyI,"['레이브', '팬덤', '플리', '입덕', '캐릭터', '실제', '인물', '캐릭터', '팬심', '덕인', '다섯', '캐릭터', '신비', '레이브', '노래', '뮤비', '볼때', '애니메이션', '동화', '기분', '현실', '세상', '레이브', '대해']"
EYG4ROejmyI,['씐남']
EYG4ROejmyI,['진짜']
EYG4ROejmyI,"['고민', '중독']"
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['레이브', '형님']"
EYG4ROejmyI,
EYG4ROejmyI,"['순간', '잠깐', '발견']"
EYG4ROejmyI,
EYG4ROejmyI,"['노래', '진짜']"
EYG4ROejmyI,"['우리', '티비', '연관', '역시', '대쉬', '티비', '다시', '집중']"
EYG4ROejmyI,
EYG4ROejmyI,"['고민', '중독', '여자친구', '노래', '느낌', '누가', '고민', '중독', '후렴구', '여자친구', '후렴구', '캐논', '진행', '표절', '일반', '대중', '표절', '논란']"
EYG4ROejmyI,['노래']
EYG4ROejmyI,"['언제', '전설', '뮤비']"
EYG4ROejmyI,
EYG4ROejmyI,"['인정', '레이브', '진짜', '무턱', '대고', '노래', '짝사랑', '공감']"
EYG4ROejmyI,['몰카']
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,
EYG4ROejmyI,"['발신', '존중', '다나', '발롱도르', '개인', '트로피', '유로', '포르투갈', '우승', '차지', '동시', '매치', '역대', '다득점', '또한', '챔스', '역대', '다득점', '이자', '우승', '차지', '레알마드리드', '상징', '또한', '나이', '프리미어리그', '기록', '챔스', '경기', '연속', '기록', '가세', '최고', '증명', '은혜', '맨유', '보드', '진과', '맨유', '골칫', '덩이', '라며', '가세', '최고', '가팀', '사실', '가사', '우디', '이유', '메시', '대한', '자격지심', '이아', '유럽', '모든', '아시아', '정복', '위해', '단지', '위해', '서간', '이아']"
EYG4ROejmyI,"['조회', '천만이']"
EYG4ROejmyI,"['음악', '마음', '영혼', '감동']"
EYG4ROejmyI,"['데이', '식스', '노래', '레이브', '아이덴티티', '약간', '옛날', '리즈', '느낌', '물씬', '버튜버', '노래', '데뷔', '노래']"
EYG4ROejmyI,
