,nouns
rDFUl2mHIW4,"['세계', '아이돌', '노래']"
rDFUl2mHIW4,['노래']
rDFUl2mHIW4,
rDFUl2mHIW4,"['벌써', '전이', '시간']"
rDFUl2mHIW4,
rDFUl2mHIW4,"['최신', '댓글', '일이', '무슨']"
rDFUl2mHIW4,['시발']
rDFUl2mHIW4,"['고소장', '먼저', '적응']"
rDFUl2mHIW4,"['노래', '지금', '다시', '주인']"
rDFUl2mHIW4,['노래']
rDFUl2mHIW4,"['부가', '사랑']"
rDFUl2mHIW4,"['진짜', '가식', '표절', '작사가', '이름', '논란', '존나', '끼리', '고생']"
rDFUl2mHIW4,['노래']
rDFUl2mHIW4,"['노래', '인죵']"
rDFUl2mHIW4,"['노래', '미녕', '다른', '노랜데']"
rDFUl2mHIW4,"['이번', '일로', '다른', '분탕', '이파리', '정신', '잘못']"
rDFUl2mHIW4,"['하진', '문화']"
rDFUl2mHIW4,"['수고', '버튜버', '멜론', '차트', '이건']"
rDFUl2mHIW4,"['애니', '주제곡', '오프닝', '애닌데']"
rDFUl2mHIW4,['마음']
rDFUl2mHIW4,"['키딩', '계절']"
rDFUl2mHIW4,"['부분', '안나']"
rDFUl2mHIW4,"['자꾸', '주위']"
rDFUl2mHIW4,['노래']
rDFUl2mHIW4,
rDFUl2mHIW4,"['릴파님', '데이', '스님', '가사', '오늘', '맹세', '전부', '눈빛', '맞이', '미래', '위태', '지도', '눈물', '감동', '그날', '그때', '서로', '릴파님', '우리', '가사', '항상']"
rDFUl2mHIW4,
rDFUl2mHIW4,"['거기', '분탕치']"
rDFUl2mHIW4,['이제']
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,"['신곡', '그때', '몇번', '다시', '노래', '영상']"
rDFUl2mHIW4,['몇번']
rDFUl2mHIW4,"['슈퍼스타', '다라', '발작']"
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,"['디맥', '역수출', '디맥', '역수출', '디맥', '역수출', '디맥', '역수출', '디맥', '역수출', '디맥', '역수출', '디맥', '역수출', '디맥', '역수출', '디맥', '역수출', '디맥', '역수출']"
rDFUl2mHIW4,['아이돌']
rDFUl2mHIW4,"['키딩', '계절']"
rDFUl2mHIW4,"['그룹', '버들']"
rDFUl2mHIW4,"['진짜', '그냥', '대중', '인기', '히트', '느낌', '이자']"
rDFUl2mHIW4,['레전드']
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,['한강']
rDFUl2mHIW4,"['년전', '볼때', '기술', '대박']"
rDFUl2mHIW4,"['여름', '듣기', '시간', '노래', '여름']"
rDFUl2mHIW4,['키딩']
rDFUl2mHIW4,['시청']
rDFUl2mHIW4,"['이건', '버츄', '아이돌', '명곡']"
rDFUl2mHIW4,"['노래', '오전']"
rDFUl2mHIW4,
rDFUl2mHIW4,"['사람', '어차피']"
rDFUl2mHIW4,"['노래', '여름', '강제', '소환']"
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,"['뮤비', '롤러']"
rDFUl2mHIW4,['앙챠']
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,"['키딩', '생각', '눈물']"
rDFUl2mHIW4,"['지도', '처음', '그냥', '노래', '동안', '기억', '벌써']"
rDFUl2mHIW4,"['노래', '진짜', '개맛']"
rDFUl2mHIW4,"['부천', '호수', '식물원', '내부']"
rDFUl2mHIW4,
rDFUl2mHIW4,"['노래', '정말']"
rDFUl2mHIW4,['누구']
rDFUl2mHIW4,
rDFUl2mHIW4,"['세구', '역시']"
rDFUl2mHIW4,"['안무', '다시']"
rDFUl2mHIW4,['씐난다']
rDFUl2mHIW4,['지금']
rDFUl2mHIW4,['만회']
rDFUl2mHIW4,"['만회', '축하']"
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,"['조회', '수가', '린다']"
rDFUl2mHIW4,"['만회', '미춌다']"
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,"['인트', '그냥']"
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,['사랑']
rDFUl2mHIW4,['보기']
rDFUl2mHIW4,
rDFUl2mHIW4,
rDFUl2mHIW4,['오늘']
rDFUl2mHIW4,
rDFUl2mHIW4,"['군대', '사람']"
rDFUl2mHIW4,
