title,company,location,scrape_date,scrape_time,title_raw,paren_raw,title_clean,seniority,work_mode,employment_type,role_group
GEN AI ENGINEER,Ascendion,"Bengaluru, Karnataka, India",2025-07-16,13:04:22,GEN AI ENGINEER,,gen ai engineer,unknown,unknown,unknown,ml_ai
AI Specialist – AI Agent Development,Brand Raga,"Bengaluru, Karnataka, India",2025-07-16,13:04:22,AI Specialist – AI Agent Development,,ai specialist ai agent development,unknown,unknown,unknown,ml_ai
Senior Machine Learning Engineer,TrueFan AI,"Gurugram, Haryana, India",2025-07-16,13:04:22,Senior Machine Learning Engineer,,senior machine learning engineer,senior,unknown,unknown,ml_ai
Cloud Engineer,Workforce247,"Ahmedabad, Gujarat, India",2025-07-16,13:07:10,Cloud Engineer,,cloud engineer,unknown,unknown,unknown,cloud
DevOps Engineer,Webologix Ltd/ INC,"Noida, Uttar Pradesh, India",2025-07-16,13:11:28,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
Data Engineer,Prakhar Software Solutions Ltd.,"Bengaluru, Karnataka, India",2025-07-16,13:13:16,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Data Engineer (Oracle Analytics Cloud/OCI Big Data),Leuwint Technologies,"Gurugram, Haryana, India",2025-07-16,13:13:16,Data Engineer (Oracle Analytics Cloud/OCI Big Data),Oracle Analytics Cloud/OCI Big Data,data engineer,unknown,unknown,unknown,data_engineering
Senior .NET Developer +Azure Devops(Mandatory) ||  10+Years(Immediate Joiners Only),Zcodia Technologies,"Chennai, Tamil Nadu, India",2025-07-16,13:13:16,Senior .NET Developer +Azure Devops(Mandatory) ||  10+Years(Immediate Joiners Only),Mandatory | Immediate Joiners Only,senior net developer azure devops 10 years,senior,unknown,unknown,devops_sre
GCP Data engineer - Contract,Gravity Infosolutions,,2025-07-16,13:13:49,GCP Data engineer - Contract,,gcp data engineer contract,unknown,unknown,contract,data_engineering
GCP Data Engineer-Contract,Gravity Infosolutions,,2025-07-16,13:15:41,GCP Data Engineer-Contract,,gcp data engineer contract,unknown,unknown,contract,data_engineering
AI Engineer - Azure AI,Prism Cloud Consulting Inc.,,2025-07-16,13:15:50,AI Engineer - Azure AI,,ai engineer azure ai,unknown,unknown,unknown,ml_ai
Lead Data Scientist,Saarthee,"Bangalore Urban, Karnataka, India",2025-07-16,13:17:44,Lead Data Scientist,,lead data scientist,senior,unknown,unknown,data_science
Data Engineer - GCP,Marktine Technology Solutions Pvt Ltd,,2025-07-16,13:17:44,Data Engineer - GCP,,data engineer gcp,unknown,unknown,unknown,data_engineering
Office 365 & EMS Services - Digital Cloud Engineer,Sonata Software,"Bengaluru, Karnataka, India",2025-07-16,13:19:03,Office 365 & EMS Services - Digital Cloud Engineer,,office 365 ems services digital cloud engineer,unknown,unknown,unknown,cloud
Senior Data Engineer,Ascendion,"Hyderabad, Telangana, India",2025-07-16,13:19:03,Senior Data Engineer,,senior data engineer,senior,unknown,unknown,data_engineering
AI Engineer – Autonomous Agent Developer,SpacePepper Studios,"New Delhi, Delhi, India",2025-07-16,13:19:20,AI Engineer – Autonomous Agent Developer,,ai engineer autonomous agent developer,unknown,unknown,unknown,ml_ai
Sr. AWS Data Engineer,Exavalu,"Kolkata, West Bengal, India",2025-07-16,13:21:14,Sr. AWS Data Engineer,,sr aws data engineer,senior,unknown,unknown,data_engineering
"Director / Senior Director, AI Data Engineer",TP,,2025-07-16,13:23:27,"Director / Senior Director, AI Data Engineer",,director senior director ai data engineer,senior,unknown,unknown,data_engineering
Data Engineer II /Sr Data Engineer,HiLabs,"Bengaluru, Karnataka, India",2025-07-16,13:25:15,Data Engineer II /Sr Data Engineer,,data engineer ii sr data engineer,senior,unknown,unknown,data_engineering
Senior AI Engineer (5+ Years Exp) – Immediate Joiners Only,Perimattic,"Mumbai, Maharashtra, India",2025-07-16,13:25:15,Senior AI Engineer (5+ Years Exp) – Immediate Joiners Only,5+ Years Exp,senior ai engineer,senior,unknown,unknown,ml_ai
Sr. DevOps Engineer,HiLabs,"Pune, Maharashtra, India",2025-07-16,13:27:37,Sr. DevOps Engineer,,sr devops engineer,senior,unknown,unknown,devops_sre
Gen AI Specialist - Agent Framework - 100% Remote,VGreen Technology Solutions (VGreenTEK),"Trivandrum, Kerala, India",2025-07-16,13:27:37,Gen AI Specialist - Agent Framework - 100% Remote,,gen ai specialist agent framework 100 remote,unknown,remote,unknown,ml_ai
Gen AI Engineer+.Net Core,NTek Software Solutions,"Hyderabad, Telangana, India",2025-07-16,13:30:05,Gen AI Engineer+.Net Core,,gen ai engineer net core,unknown,unknown,unknown,ml_ai
Gen AI Developer,Tata Consultancy Services,"Hyderabad, Telangana, India",2025-07-16,13:30:05,Gen AI Developer,,gen ai developer,unknown,unknown,unknown,ml_ai
Machine Learning Engineer,YO IT Group,"Bengaluru, Karnataka, India",2025-07-16,13:31:54,Machine Learning Engineer,,machine learning engineer,unknown,unknown,unknown,ml_ai
Remote Contract GCP Data Engineer,"h3 Technologies, LLC",,2025-07-16,13:34:01,Remote Contract GCP Data Engineer,,remote contract gcp data engineer,unknown,remote,contract,data_engineering
DevOps Engineer,Webvio Technologies Pvt Ltd,"WB, IN",2025-07-16,15:23:47,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
Lead DevOps Engineer,Innover Digital,"KA, IN",2025-07-16,15:23:47,Lead DevOps Engineer,,lead devops engineer,senior,unknown,unknown,devops_sre
Senior DevOps Engineer,WLC TECHNOLOGY LLP,"Remote, IN",2025-07-16,15:23:47,Senior DevOps Engineer,,senior devops engineer,senior,unknown,unknown,devops_sre
