,title,company,location,scrape_date,scrape_time
165,Cloud Engineer Intern,B. M. Infotrade Pvt. Ltd.,"RJ, IN",2025-07-16,11:42:04
166,Data Engineer,Stratacent,"Pune, Maharashtra, India",2025-07-16,11:42:04
167,Cloud engineer - GCP and Azure - GO/JC/446/2025,Golden Opportunities,"Bengaluru, Karnataka, India",2025-07-16,11:42:04
168,AI Engineer II,Skillsoft,"Hyderabad, Telangana, India",2025-07-16,11:42:04
169,"Data Engineer-Python,PySpark,SQL ,Spark Architecture,Azure Databricks",Siemens Healthineers,"Bengaluru, Karnataka, India",2025-07-16,11:42:04
170,Data Engineer,HireAlpha,"Hyderabad, Telangana, India",2025-07-16,11:42:04
171,Senior AWS Data Engineer,Zimetrics,"Pune, Maharashtra, India",2025-07-16,11:42:04
172,Senior Frontend Engineer – Data Visualization & Analytics,Weekday (YC W21),"Mumbai, Maharashtra, India",2025-07-16,11:42:04
173,Senior Data Engineer,Nisum,"Bhubaneswar, Odisha, India",2025-07-16,11:42:04
174,Senior Data Engineer,TalentON Technology Services,,2025-07-16,11:42:04
175,"Data Engineer- Snowflakes,Pyspark, Snowflake and dbt",Trivecta Digital,"Chennai, Tamil Nadu, India",2025-07-16,11:46:07
176,Azure Data Engineer,ZS,"Pune, Maharashtra, India",2025-07-16,11:50:55
177,Data Engineer,IntraEdge,,2025-07-16,11:50:55
178,Sr. Software Engineer - Public Cloud Engineering,Workday,,2025-07-16,11:50:55
179,AI Engineer,GE HealthCare,"Bengaluru, Karnataka, India",2025-07-16,11:50:55
180,data engineer II,Concentrix Limited Company,"Gurugram, Haryana, India",2025-07-16,11:50:55
181,Senior AI Engineer (Agentic AI Focus),Tech9,,2025-07-16,11:50:55
182,Data Engineer,NeoStats,"Bengaluru, Karnataka, India",2025-07-16,11:50:55
183,Senior Data Engineer,Numerator,"Vadodara, Gujarat, India",2025-07-16,11:50:55
184,Principal Cloud Engineer,Tide,,2025-07-16,11:56:42
185,Cloud Data Engineer,Lemongrass,,2025-07-16,11:56:42
186,Data Engineer-Business Intelligence,IBM,"Pune, Maharashtra, India",2025-07-16,11:56:42
187,Cloud Sr. Software Engineer DevOps,Virtusa,"Andhra Pradesh, India",2025-07-16,11:56:42
188,DevOps Engineer,Arin Tech ,"CH, IN",2025-07-16,12:48:56
189,DevOps Engineer,Persistent Systems,"Bengaluru, Karnataka, India",2025-07-16,12:48:56
190,Machine Learning Engineer,ThoughtSol Infotech Pvt. Ltd,"Noida, Uttar Pradesh, India",2025-07-16,12:48:56
191,DevOps Engineer,DHL,"Indore, Madhya Pradesh, India",2025-07-16,12:48:56
192,DevOps Engineer -AWS,Capgemini,"Coimbatore, Tamil Nadu, India",2025-07-16,12:48:56
193,DevOps Engineer,HID,"Chennai, Tamil Nadu, India",2025-07-16,12:48:56
194,Sr Machine Learning Engineer,PayPal,"Bengaluru, Karnataka, India",2025-07-16,12:48:56
195,Senior Data Engineer,Faurecia,"Pune, Maharashtra, India",2025-07-16,12:48:56
196,5+ YoE Data Engineer – PySpark/Spark Scala with Cloud & SQL - Immediate Joiner - Pune,UST,"Pune, Maharashtra, India",2025-07-16,12:48:56
197,Senior DevOps Engineer,LSEG,"Bengaluru, Karnataka, India",2025-07-16,12:48:56
198,AWS DevOps Engineer,Dataviv Media Network,"HR, IN",2025-07-16,13:38:47
199,Senior Staff Cloud DevOps Engineer,Experian,"TS, IN",2025-07-16,13:38:47
200,Machine Learning Engineer L4,Twilio,,2025-07-16,13:38:47
201,DevOps Engineer,Sapiens,"Bengaluru, Karnataka, India",2025-07-16,13:38:47
202,Machine Learning Engineer,KeyValue Software Systems,"Kochi, Kerala, India",2025-07-16,13:38:47
203,DevOps Engineer,va2pt.com,"Dwarka, Delhi, India",2025-07-16,13:38:47
204,GenAI Developer,EliteRecruitments,,2025-07-16,13:38:47
